t(s),V
878.999276,0.026911
880.000333,0.027549
880.999390,0.026911
881.999447,0.028823
883.000505,0.027549
884.000562,0.028823
885.000619,0.032008
886.000677,0.026911
887.000734,0.028186
888.000791,0.028823
889.000848,0.028186
889.999905,0.032645
890.999962,0.025637
892.000020,0.026911
893.000077,0.026911
894.000134,0.029460
895.000191,0.029460
896.000248,0.033282
896.999306,0.034557
898.000363,0.031371
898.999420,0.032645
900.000477,0.029460
900.999534,0.027549
902.000592,0.028823
903.000648,0.028823
904.000706,0.028823
905.000763,0.026911
906.000820,0.028823
906.998878,0.026911
907.999935,0.023726
908.999992,0.025000
910.000049,0.026911
911.000106,0.027549
912.000164,0.030097
913.000221,0.029460
914.000278,0.026911
914.999335,0.027549
916.000392,0.027549
916.999449,0.024363
917.999506,0.026911
919.000564,0.024363
920.000621,0.020540
921.000679,0.024363
922.000736,0.025000
923.000793,0.022452
924.000850,0.024363
924.998907,0.022452
925.998964,0.019903
927.000021,0.019266
928.000079,0.019903
929.000136,0.016718
929.999193,0.009072
931.000250,0.013532
931.999308,0.013532
932.999365,0.016081
934.000422,0.014169
935.000479,0.012258
936.000536,0.007161
937.000594,0.011621
937.999650,0.009710
939.000708,0.012258
940.000765,0.010347
940.999822,0.014806
941.999879,0.007798
942.999937,0.012895
943.998994,0.014169
944.999051,0.014169
946.000108,0.012895
947.000165,0.014169
947.999223,0.015443
949.000280,0.014806
949.999337,0.014806
951.000394,0.013532
952.000452,0.010984
953.000509,0.009710
953.999566,0.013532
954.999623,0.012258
956.000680,0.009710
957.000737,0.012895
957.999794,0.009710
959.000852,0.005250
959.998909,0.005250
960.999966,-0.000484
962.000023,0.006524
963.000081,0.005250
963.999138,0.007798
964.999195,0.012258
966.000252,0.011621
967.000309,0.012895
967.999367,0.012258
968.999424,0.010347
970.000481,0.009710
971.000538,0.012895
971.999595,0.012258
973.000652,0.014806
974.000710,0.015443
975.000767,0.009710
975.999824,0.014169
976.999881,0.014806
977.999938,0.012258
978.998996,0.009072
979.999053,0.010347
980.998110,0.014806
982.000167,0.017992
983.000225,0.013532
983.999281,0.013532
984.999339,0.013532
986.000396,0.014806
987.000453,0.013532
987.999510,0.011621
989.000568,0.011621
990.000625,0.007161
991.000682,-0.006218
991.999739,-0.008129
993.000796,-0.001121
994.000854,-0.003670
994.998911,-0.006855
995.998968,-0.006855
997.000025,-0.003033
998.000082,-0.008767
998.999139,-0.022146
999.999197,-0.010041
1001.000254,-0.008767
1002.000311,-0.004944
1002.999368,0.003976
1004.000426,0.002064
1005.000483,0.014169
1006.000540,0.011621
1007.000597,0.013532
1008.000654,0.005887
1009.000711,0.010347
1010.000769,0.007798
1010.999826,0.011621
1011.998883,0.009072
1012.999940,0.007161
1013.999998,0.010347
1014.999055,0.009072
1015.999112,0.008435
1017.000169,0.010347
1018.000226,0.008435
1018.999283,0.008435
1020.000341,0.007798
1021.000398,0.002064
1022.000455,0.005250
1023.000512,0.009072
1023.999569,0.009072
1025.000627,0.006524
1025.999684,0.010984
1027.000741,0.007161
1028.000798,0.012258
1029.000855,0.009072
1029.998913,0.012258
1030.998970,0.009072
1031.999027,0.009072
1033.000084,0.011621
1034.000142,0.012258
1034.999198,0.013532
1036.000256,0.009072
1037.000313,0.014806
1037.999370,0.014169
1038.999427,0.012258
1039.999485,0.010984
1040.999542,0.012895
1042.000599,0.011621
1042.999656,0.012258
1044.000713,0.014169
1044.999771,0.013532
1045.999828,0.009072
1046.998885,0.008435
1047.999942,0.012258
1049.000000,0.012258
1049.999057,0.014169
1051.000114,0.014169
1052.000171,0.010984
1052.999228,0.009710
1054.000286,0.012258
1054.999342,0.009710
1056.000400,0.009710
1057.000457,0.011621
1057.999514,0.006524
1059.000571,0.006524
1060.000628,0.008435
1061.000686,0.009072
1062.000743,0.003976
1062.999800,-0.000484
1064.000857,0.003338
1064.999915,0.006524
1065.998972,0.010984
1067.000029,0.009710
1068.000086,0.010347
1069.000144,0.007161
1070.000201,0.010984
1071.000258,0.007161
1072.000315,0.011621
1072.999372,0.008435
1074.000430,0.010984
1075.000487,0.010347
1076.000544,0.013532
1076.999601,0.012258
1077.999658,0.013532
1078.999715,0.012258
1080.000772,0.011621
1080.999830,0.014806
1081.999887,0.012258
1082.999944,0.012895
1084.000001,0.011621
1085.000059,0.014169
1086.000116,0.012895
1087.000173,0.012895
1088.000230,0.013532
1089.000288,0.016081
1089.999344,0.017992
1091.000401,0.013532
1092.000459,0.015443
1093.000516,0.012258
1094.000573,0.016718
1095.000630,0.017992
1096.000688,0.015443
1096.999745,0.014169
1098.000802,0.019266
1098.999859,0.016718
1099.999917,0.014169
1100.998974,0.013532
1102.000031,0.017355
1103.000088,0.012895
1104.000145,0.016081
1104.999202,0.012895
1105.999259,0.017992
1107.000317,0.014169
1108.000374,0.013532
1109.000432,0.014169
1110.000489,0.012895
1111.000546,0.015443
1112.000603,0.016081
1113.000660,0.017992
1114.000717,0.015443
1114.999774,0.014806
1116.000832,0.014169
1116.999889,0.017355
1117.999946,0.014806
1118.999003,0.015443
1119.999060,0.012258
1120.999117,0.014806
1122.000175,0.014806
